seed,arm,round,n_labeled,n_pool_remaining,test_n,rmse,mae,r2,spearman_r,spearman_p
33,random,16,1059,1527,555,1.0290938905694451,0.7811368701875389,0.6213658162668216,0.7845348275800397,7.256291377955506e-117
33,random,17,1109,1477,555,1.0332489731386865,0.7760304400723642,0.6183020872694911,0.7841808333211159,1.0819617106221322e-116
33,random,18,1159,1427,555,1.0353479941917776,0.7766205391911761,0.6167496913282928,0.7845812616871739,6.88545092475978e-117
33,random,19,1209,1377,555,1.040324584718533,0.7841568498371301,0.6130565104617302,0.781199047652329,3.0389304404127377e-115
33,random,20,1259,1327,555,1.0360899955159852,0.7794633830598224,0.6162001676155904,0.7830804537845525,3.727643129234395e-116
33,uncertainty,0,259,2327,555,1.1829340271040394,0.9257381232955675,0.49969957790439634,0.7230535427080444,6.75386983211308e-91
33,uncertainty,1,309,2277,555,1.1534561856571237,0.8964956182620609,0.5243231398960906,0.727411670669804,1.6811887312368083e-92
33,uncertainty,2,359,2227,555,1.128969213239835,0.8720767365458526,0.5443052571902625,0.7400852783851621,2.3930176633956846e-97
33,uncertainty,3,409,2177,555,1.1152773364749013,0.8552302905952335,0.5552913526444506,0.7500616620968713,2.2893914950716078e-101
33,uncertainty,4,459,2127,555,1.1127511324773032,0.8503428925020763,0.5573036815902457,0.7476708802614597,2.1884031995482028e-100
33,uncertainty,5,509,2077,555,1.1006307531148496,0.8430811068302331,0.5668950900220651,0.7523345818081446,2.613702770665491e-102
33,uncertainty,6,559,2027,555,1.0673594020591226,0.8197222008835616,0.5926842717687801,0.7654872280029504,5.688342670428618e-108
33,uncertainty,7,609,1977,555,1.0474397062982594,0.8014380424434051,0.6077455433623041,0.7736824216826999,1.0841203943224064e-111
33,uncertainty,8,659,1927,555,1.035856489088774,0.7890284662346169,0.6163731441506229,0.78732804400007,3.020680638944919e-118
33,uncertainty,9,709,1877,555,1.0387474867551645,0.7930356309893366,0.6142288084933751,0.7848894773679875,4.859220088110793e-117
33,uncertainty,10,759,1827,555,1.0200632946654145,0.7824993788756469,0.6279819077653827,0.7925419347106033,7.021007889957277e-121
33,uncertainty,11,809,1777,555,1.0233736629701615,0.7839696290505541,0.6255634005949819,0.7922356556153517,1.007393132237822e-120
33,uncertainty,12,859,1727,555,1.0027671083457628,0.76549499533626,0.6404908229485233,0.8036550802481862,9.359694582592679e-127
33,uncertainty,13,909,1677,555,1.0024587985314966,0.7660983074442209,0.6407118576579178,0.8037928382757764,7.871871018033967e-127
33,uncertainty,14,959,1627,555,1.0067312845902094,0.7699654148411402,0.6376427543975205,0.8009453008759152,2.742298402939819e-125
33,uncertainty,15,1009,1577,555,1.0104362999672132,0.7699446464376968,0.634970721408297,0.795577370681331,1.8964720245477095e-122
33,uncertainty,16,1059,1527,555,1.0069765664162573,0.7682126874663586,0.6374661621416874,0.7985318153301197,5.31614401189669e-124
33,uncertainty,17,1109,1477,555,0.9997223468461631,0.76472680357734,0.642670706717035,0.8036108187449175,9.89476360529341e-127
33,uncertainty,18,1159,1427,555,0.9901402250388592,0.7541790832763194,0.6494877270747517,0.8060464894119804,4.545135412391209e-128
33,uncertainty,19,1209,1377,555,0.9974358576031804,0.7599623648948702,0.6443033505481379,0.8024602531059553,4.1769421067813686e-126
33,uncertainty,20,1259,1327,555,0.995243189114811,0.7519063552491696,0.6458654912558364,0.8037704460154954,8.096605649944808e-127
44,random,0,259,2327,555,1.2214242730802518,0.9750994322554639,0.46661240247469693,0.6878424504656185,5.541974241544795e-79
44,random,1,309,2277,555,1.1850899250794689,0.9328351746293824,0.4978743205123466,0.7209458273371195,3.928847840711721e-90
44,random,2,359,2227,555,1.1425105874459618,0.900119872852608,0.5333080745150486,0.7411765676467839,8.878736795794377e-98
44,random,3,409,2177,555,1.1013344535817708,0.8587077742947881,0.5663410921303806,0.7587094575291721,5.2274750654837105e-105
44,random,4,459,2127,555,1.1130282886046665,0.8635779805144399,0.557083126834111,0.7489027748833671,6.860267834970615e-101
44,random,5,509,2077,555,1.1117561906204196,0.8573990657111153,0.5580949819479449,0.7489325025392574,6.670333544640641e-101
44,random,6,559,2027,555,1.1179676035123194,0.8632531518730118,0.5531433165759848,0.7372473882105334,3.0805004285889286e-96
44,random,7,609,1977,555,1.1180141642527432,0.8590616635572065,0.5531060947258374,0.7434530452609073,1.1042569824980038e-98
44,random,8,659,1927,555,1.1111196629178748,0.859213955639403,0.5586008559237403,0.7438594271700965,7.593716352005628e-99
44,random,9,709,1877,555,1.1053639776075037,0.8547565458894055,0.5631619748024816,0.7477686972371619,1.9963283274301003e-100
44,random,10,759,1827,555,1.090838986519275,0.8409927691596236,0.5745670504009481,0.7565702638574896,4.298090872391111e-104
44,random,11,809,1777,555,1.0740664451343145,0.8258573101574327,0.5875492302867535,0.7651183822561803,8.295123871930618e-108
44,random,12,859,1727,555,1.056138414973235,0.8123832443445982,0.6012033518709146,0.7729254935519825,2.427692336168967e-111
44,random,13,909,1677,555,1.0513279377426725,0.8078232916566948,0.604827939745296,0.7759236697937336,9.78033145940604e-113
44,random,14,959,1627,555,1.045514754183016,0.7993845364036911,0.6091859646456295,0.7748752346854082,3.0239185317309643e-112
44,random,15,1009,1577,555,1.0517049724445315,0.8013615616498773,0.6045444500916117,0.7759714376091604,9.288709496238307e-113
