feature_set,split_type,split,model,n,rmse,mae,r2,spearman_r,spearman_p
RDKit_2D_raw,scaffold,test,XGBoost,555,1.0738069612007066,0.8102788925170898,0.5877485275268555,0.7693966188432994,9.993486066981597e-110
RDKit_2D_raw,scaffold,train,LightGBM,2586,0.18697694436014886,0.08660135468400723,0.98852875619039,0.9941698572260517,0.0
RDKit_2D_raw,scaffold,valid,LightGBM,554,1.054698094829267,0.790907009297271,0.578970932959169,0.7596750877110867,3.0860725940037797e-105
RDKit_2D_raw,scaffold,test,LightGBM,555,1.103598006180141,0.830226560392965,0.5645566778013513,0.7474400962565272,2.7175737656239344e-100
Morgan_plus_RDKit_2D_raw,scaffold,train,RandomForest,2586,0.3098235522298058,0.22358209743562976,0.9685034306765146,0.9868214696811939,0.0
Morgan_plus_RDKit_2D_raw,scaffold,valid,RandomForest,554,1.0258105716656878,0.7927570606593971,0.6017185334696338,0.7779614856997501,1.706430200950526e-113
Morgan_plus_RDKit_2D_raw,scaffold,test,RandomForest,555,1.0341041434290819,0.7738663017218548,0.6176699999351889,0.7889033651086536,4.923100690035156e-119
Morgan_plus_RDKit_2D_raw,scaffold,train,XGBoost,2586,0.301226125894982,0.21911975741386414,0.9702271819114685,0.9852866534856587,0.0
Morgan_plus_RDKit_2D_raw,scaffold,valid,XGBoost,554,1.0090927745144196,0.7531964182853699,0.6145944595336914,0.7845306826422063,1.1767526027163166e-116
Morgan_plus_RDKit_2D_raw,scaffold,test,XGBoost,555,1.0256723362089588,0.7558057904243469,0.6238794326782227,0.7918529661352005,1.580320985507602e-120
Morgan_plus_RDKit_2D_raw,scaffold,train,LightGBM,2586,0.18368351375414507,0.08335894133454301,0.9889293084346406,0.9943681905281834,0.0
Morgan_plus_RDKit_2D_raw,scaffold,valid,LightGBM,554,1.0283542018663507,0.7621578659235525,0.5997409036281243,0.7732886358288332,2.604100632999909e-111
Morgan_plus_RDKit_2D_raw,scaffold,test,LightGBM,555,1.0461319880395892,0.777094973183651,0.6087243836720241,0.7763798799980941,5.973257958863312e-113
Morgan_2048,random,train,RandomForest,2586,0.3259114626440955,0.2321315661603614,0.9636948276136217,0.9850565123859423,0.0
Morgan_2048,random,valid,RandomForest,554,0.7323459225327075,0.5637643170039235,0.816485332950033,0.9071260002000509,1.248630012823614e-209
Morgan_2048,random,test,RandomForest,555,0.7765308073021687,0.5737955950957874,0.8041290571655724,0.8980298849893664,2.346683044023634e-199
Morgan_2048,random,train,XGBoost,2586,0.473826763909029,0.3618485927581787,0.923262357711792,0.962791687988109,0.0
Morgan_2048,random,valid,XGBoost,554,0.7463858067757618,0.5645551085472107,0.8093815445899963,0.8999309677058642,3.897056871876596e-201
Morgan_2048,random,test,XGBoost,555,0.7786318587428078,0.5849457383155823,0.803067684173584,0.89451603656692,1.6516741378519976e-195
Morgan_2048,random,train,LightGBM,2586,0.3192779272246207,0.22352321119177984,0.9651576833591491,0.9823892648565391,0.0
Morgan_2048,random,valid,LightGBM,554,0.7086479048115537,0.5272175677268275,0.8281698935335913,0.909756551845902,6.551548040340811e-213
