activity_id,molecule_chembl_id,canonical_smiles,activity_type_source,standard_type,standard_relation,standard_value,standard_value_num,standard_units,pActivity,pchembl_value,assay_type,assay_chembl_id,assay_description,target_chembl_id,target_pref_name,document_chembl_id
103245,CHEMBL47074,CCC(=O)N1C(=O)[C@H](CCCCC(=N)N)[C@H]2c3cc(-c4cccc(C(=O)N(CC)CC)c4)ccc3C[C@@H]21,IC50,IC50,=,9900.0,9900.0,nM,5.004364805402449,5.00,B,CHEMBL659623,Inhibition of activated Coagulation factor X,CHEMBL244,Coagulation factor X,CHEMBL1132127
103248,CHEMBL46365,CCOP(=O)(OCC)N1C(=O)[C@H](CCCCC(=N)N)[C@H]2c3ccc(-c4cccc(C(=O)N(CC)CC)c4)cc3C[C@@H]21,IC50,IC50,=,20000.0,20000.0,nM,4.698970004336019,4.70,B,CHEMBL659623,Inhibition of activated Coagulation factor X,CHEMBL244,Coagulation factor X,CHEMBL1132127
103404,CHEMBL352119,COC(=O)c1ccccc1CS(=O)(=O)N[C@H](CC1CCCN(C(=N)N)C1)C(=O)NCC(=O)N[C@H]1CCCN(C(=N)N)C1O.O=C(O)C(F)(F)F,IC50,IC50,=,1.08,1.08,nM,8.96657624451305,8.97,B,CHEMBL659606,In vitro inhibition of human Coagulation factor X.,CHEMBL244,Coagulation factor X,CHEMBL1133331
103926,CHEMBL176866,CN(C)c1cccc(-c2ccc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cn3)cc2)c1,IC50,IC50,=,3.5,3.5,nM,8.455931955649724,8.46,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
144722,CHEMBL302968,CN1CCN=C1c1ccc(CN2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4s3)CC2=O)cc1,IC50,IC50,=,45.0,45.0,nM,7.346787486224656,7.35,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
145864,CHEMBL65637,C/N=C(\N)c1ccc(C(=O)N2CCN(S(=O)(=O)c3ccc4cc(Br)ccc4c3)CC2)cc1,IC50,IC50,=,230.0,230.0,nM,6.638272163982407,6.64,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
146411,CHEMBL279367,CCOC(=O)C(Cc1ccc(O[C@H]2CCNC2)cc1)c1cc2cc(C(=N)N)ccc2o1,IC50,IC50,=,52000.0,52000.0,nM,4.2839966563652006,4.28,B,CHEMBL659605,In vitro evaluation for the concentration needed for inhibiting factor Xa by 50%,CHEMBL244,Coagulation factor X,CHEMBL1127638
146444,CHEMBL279077,CC(=N)N1CC[C@H](Oc2ccc(C(Cc3cc4cc(C(=N)N)ccc4o3)C(=O)O)cc2)C1,IC50,IC50,=,500.0,500.0,nM,6.301029995663981,6.30,B,CHEMBL659605,In vitro evaluation for the concentration needed for inhibiting factor Xa by 50%,CHEMBL244,Coagulation factor X,CHEMBL1127638
147023,CHEMBL66535,CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3ccc4cc(Br)ccc4c3)CC2)cc1,IC50,IC50,=,31.0,31.0,nM,7.508638306165727,7.51,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
147509,CHEMBL19902,CC(=N)N1CC[C@H](Oc2ccc([C@H](Cc3ccc4ccc(C(=N)N)cc4c3)C(=O)O)cc2)C1,IC50,IC50,=,70.0,70.0,nM,7.154901959985743,7.16,B,CHEMBL659605,In vitro evaluation for the concentration needed for inhibiting factor Xa by 50%,CHEMBL244,Coagulation factor X,CHEMBL1127638
147543,CHEMBL280158,N=C(N)c1ccc2oc(C(Cc3ccc(O[C@H]4CCNC4)cc3)C(=O)O)cc2c1,IC50,IC50,=,45000.0,45000.0,nM,4.346787486224656,4.35,B,CHEMBL659605,In vitro evaluation for the concentration needed for inhibiting factor Xa by 50%,CHEMBL244,Coagulation factor X,CHEMBL1127638
148302,CHEMBL65010,O=C(c1ccc(C2=NCCCN2)cc1)N1CCN(S(=O)(=O)c2ccc3cc(Br)ccc3c2)CC1,IC50,IC50,=,1300.0,1300.0,nM,5.886056647693163,5.89,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
148303,CHEMBL66362,N=C(c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4s3)CC2)cc1)N1CCCC1,IC50,IC50,=,70.0,70.0,nM,7.154901959985743,7.16,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
148304,CHEMBL65394,CN(C)C(=N)c1ccc(CN2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4s3)CC2=O)cc1,IC50,IC50,=,30.0,30.0,nM,7.522878745280337,7.52,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
