molecule_chembl_id,canonical_smiles,canonical_smiles_rdkit,smiles,endpoint,target_pKi,target_value,p_endpoint_mean,p_endpoint_std,p_endpoint_min,p_endpoint_max,p_endpoint_range,high_replicate_spread,n_activity_records,n_unique_assays,n_unique_documents,n_unique_original_smiles,n_unique_rdkit_smiles,median_standard_value_nM,min_standard_value_nM,max_standard_value_nM,heavy_atom_count,mol_wt_rdkit,assay_type_set,assay_chembl_ids,document_chembl_ids,activity_ids
CHEMBL362184,N=C(N)c1ccc2[nH]cc(C(Cc3ccc(N)cc3)C(=O)Nc3ccc(-n4cnc5ccccc54)cc3)c2c1.O=C(O)C(F)(F)F,N=C(N)c1ccc2[nH]cc(C(Cc3ccc(N)cc3)C(=O)Nc3ccc(-n4cnc5ccccc54)cc3)c2c1,N=C(N)c1ccc2[nH]cc(C(Cc3ccc(N)cc3)C(=O)Nc3ccc(-n4cnc5ccccc54)cc3)c2c1,pKi,8.397940008672037,8.397940008672037,8.397940008672037,0.0,8.397940008672037,8.397940008672037,0.0,False,1,1,1,1,1,4.0,4.0,4.0,39,513.6050000000002,B,CHEMBL828792,CHEMBL1145227,1437615
CHEMBL455932,CS(=O)(=O)c1ccccc1-c1ccc(CCNS(=O)(=O)c2cc(C(=N)N)ccc2O)c(OCC(=O)O)c1,CS(=O)(=O)c1ccccc1-c1ccc(CCNS(=O)(=O)c2cc(C(=N)N)ccc2O)c(OCC(=O)O)c1,CS(=O)(=O)c1ccccc1-c1ccc(CCNS(=O)(=O)c2cc(C(=N)N)ccc2O)c(OCC(=O)O)c1,pKi,8.301029995663981,8.301029995663981,8.301029995663981,0.0,8.301029995663981,8.301029995663981,0.0,False,2,2,2,1,1,5.0,5.0,5.0,37,547.6110000000003,B,CHEMBL1273257;CHEMBL995175,CHEMBL1156579;CHEMBL1268866,2240899;3515169
CHEMBL279628,COC(=O)CC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)CC(c2cccc(C(=N)N)c2)=NO1.O=C(O)C(F)(F)F,COC(=O)CC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)CC(c2cccc(C(=N)N)c2)=NO1,COC(=O)CC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)CC(c2cccc(C(=N)N)c2)=NO1,pKi,8.200659450546418,8.200659450546418,8.229844047075488,0.0887339444264272,8.167491087293763,8.4089353929735,0.24144430567973707,False,6,3,3,1,1,6.3,3.9,6.8,38,535.5820000000002,B,CHEMBL658336;CHEMBL663266;CHEMBL663267,CHEMBL1131683;CHEMBL1132311;CHEMBL1132652,1033921;1276257;1278920;1286306;1302505;150806
CHEMBL139063,COC(=O)CC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)CC(c2cccc(C(=N)N)c2)=NO1,COC(=O)CC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)CC(c2cccc(C(=N)N)c2)=NO1,COC(=O)CC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)CC(c2cccc(C(=N)N)c2)=NO1,pKi,8.200659450546418,8.200659450546418,8.200659450546418,0.0,8.200659450546418,8.200659450546418,0.0,False,2,2,2,1,1,6.3,6.3,6.3,38,535.5820000000002,B,CHEMBL1273257;CHEMBL657716,CHEMBL1133520;CHEMBL1268866,3519196;593140
CHEMBL301729,N=C(N)c1cccc(C2=NOC(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)c1,N=C(N)c1cccc(C2=NOC(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)c1,N=C(N)c1cccc(C2=NOC(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)c1,pKi,8.142667503568731,8.142667503568731,8.142667503568731,0.0,8.142667503568731,8.142667503568731,0.0,False,2,2,2,1,1,7.2,7.2,7.2,33,463.5190000000002,B,CHEMBL661220;CHEMBL682024,CHEMBL1136396;CHEMBL1145122,162061;533835
CHEMBL92523,N=C(N)c1cccc(C2=NOC(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)c1.O=C(O)C(F)(F)F,N=C(N)c1cccc(C2=NOC(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)c1,N=C(N)c1cccc(C2=NOC(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)c1,pKi,8.142667503568731,8.142667503568731,8.142667503568731,0.0,8.142667503568731,8.142667503568731,0.0,False,1,1,1,1,1,7.2,7.2,7.2,33,463.5190000000002,B,CHEMBL663266,CHEMBL1132652,1029092
CHEMBL7967,CC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)CC(c2cccc(C(=N)N)c2)=NO1,CC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)CC(c2cccc(C(=N)N)c2)=NO1,CC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)CC(c2cccc(C(=N)N)c2)=NO1,pKi,8.050637409205253,8.050637409205253,8.050637409205253,0.1301502075953066,7.958607314841775,8.142667503568731,0.1840601887269564,False,2,2,2,1,1,9.1,7.2,11.0,34,477.5460000000002,B,CHEMBL661793;CHEMBL682004,CHEMBL1133078;CHEMBL1145764,348556;549077
CHEMBL307446,N=C(N)c1cccc(CNC(=O)c2cc3c(O)cccc3n2Cc2cccc(C(=N)N)c2)c1.O=C(O)C(F)(F)F,N=C(N)c1cccc(CNC(=O)c2cc3c(O)cccc3n2Cc2cccc(C(=N)N)c2)c1,N=C(N)c1cccc(CNC(=O)c2cc3c(O)cccc3n2Cc2cccc(C(=N)N)c2)c1,pKi,8.045757490560675,8.045757490560675,8.045757490560675,0.0,8.045757490560675,8.045757490560675,0.0,False,1,1,1,1,1,9.0,9.0,9.0,33,440.5070000000002,B,CHEMBL802350,CHEMBL1133787,1101091
CHEMBL317811,N=C(N)c1cccc(CNC(=O)c2cc3c(O)cccc3n2Cc2cccc(C(=N)N)c2)c1,N=C(N)c1cccc(CNC(=O)c2cc3c(O)cccc3n2Cc2cccc(C(=N)N)c2)c1,N=C(N)c1cccc(CNC(=O)c2cc3c(O)cccc3n2Cc2cccc(C(=N)N)c2)c1,pKi,8.045757490560675,8.045757490560675,8.045757490560675,0.0,8.045757490560675,8.045757490560675,0.0,False,1,1,1,1,1,9.0,9.0,9.0,33,440.5070000000002,B,CHEMBL663407,CHEMBL1135480,820124
CHEMBL330496,CC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)CC(c2cccc(C(=N)N)c2)=NO1.O=C(O)C(F)(F)F,CC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)CC(c2cccc(C(=N)N)c2)=NO1,CC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)CC(c2cccc(C(=N)N)c2)=NO1,pKi,7.958607314841775,7.958607314841775,7.958607314841775,0.0,7.958607314841775,7.958607314841775,0.0,False,1,1,1,1,1,11.0,11.0,11.0,34,477.5460000000002,B,CHEMBL663266,CHEMBL1132652,1052235
