molecule_chembl_id,canonical_smiles,canonical_smiles_rdkit,smiles,endpoint,target_pKi,target_value,p_endpoint_mean,p_endpoint_std,p_endpoint_min,p_endpoint_max,p_endpoint_range,high_replicate_spread,n_activity_records,n_unique_assays,n_unique_documents,n_unique_original_smiles,n_unique_rdkit_smiles,median_standard_value_nM,min_standard_value_nM,max_standard_value_nM,heavy_atom_count,mol_wt_rdkit,assay_type_set,assay_chembl_ids,document_chembl_ids,activity_ids
CHEMBL123942,Cc1cc(N)nc(C)c1CNC(=O)[C@@H]1CCCN1C(=O)[C@H](N)C(C1CCCCC1)C1CCCCC1,Cc1cc(N)nc(C)c1CNC(=O)[C@@H]1CCCN1C(=O)[C@H](N)C(C1CCCCC1)C1CCCCC1,Cc1cc(N)nc(C)c1CNC(=O)[C@@H]1CCCN1C(=O)[C@H](N)C(C1CCCCC1)C1CCCCC1,pKi,3.795880017344075,3.795880017344075,3.795880017344075,0.0,3.795880017344075,3.795880017344075,0.0,False,1,1,1,1,1,160000.0,160000.0,160000.0,35,483.7010000000005,B,CHEMBL662831,CHEMBL1130400,420975
CHEMBL289951,Cc1cc(OCCN(C)c2ccncc2)cc(OS(=O)(=O)c2ccccc2Cl)c1,Cc1cc(OCCN(C)c2ccncc2)cc(OS(=O)(=O)c2ccccc2Cl)c1,Cc1cc(OCCN(C)c2ccncc2)cc(OS(=O)(=O)c2ccccc2Cl)c1,pKi,3.795880017344075,3.795880017344075,3.795880017344075,0.0,3.795880017344075,3.795880017344075,0.0,False,1,1,1,1,1,160000.0,160000.0,160000.0,29,432.9290000000002,B,CHEMBL802349,CHEMBL1130852,1144601
CHEMBL337923,Cc1cc(N)nc(C)c1CNC(=O)[C@@H]1CCCN1C(=O)[C@H](NC(=O)OC(C)(C)C)C(c1ccccc1)c1ccccc1,Cc1cc(N)nc(C)c1CNC(=O)[C@@H]1CCCN1C(=O)[C@H](NC(=O)OC(C)(C)C)C(c1ccccc1)c1ccccc1,Cc1cc(N)nc(C)c1CNC(=O)[C@@H]1CCCN1C(=O)[C@H](NC(=O)OC(C)(C)C)C(c1ccccc1)c1ccccc1,pKi,3.795880017344075,3.795880017344075,3.795880017344075,0.0,3.795880017344075,3.795880017344075,0.0,False,1,1,1,1,1,160000.0,160000.0,160000.0,42,571.7220000000003,B,CHEMBL662831,CHEMBL1130400,409939
CHEMBL62397,N=C(N)c1cc2[nH]c(-c3cccc(OC[C@H]4CCCN4)c3O)nc2cc1F,N=C(N)c1cc2[nH]c(-c3cccc(OC[C@H]4CCCN4)c3O)nc2cc1F,N=C(N)c1cc2[nH]c(-c3cccc(OC[C@H]4CCCN4)c3O)nc2cc1F,pKi,3.7772835288524167,3.7772835288524167,3.7772835288524167,0.0,3.7772835288524167,3.7772835288524167,0.0,False,1,1,1,1,1,167000.0,167000.0,167000.0,27,369.4,B,CHEMBL660266,CHEMBL1135195,489606
CHEMBL419023,Cc1ccc(NS(=O)(=O)Cc2ccc(F)cc2)c(=O)n1CC(=O)N[C@H]1CCc2nc(N)sc2C1,Cc1ccc(NS(=O)(=O)Cc2ccc(F)cc2)c(=O)n1CC(=O)N[C@H]1CCc2nc(N)sc2C1,Cc1ccc(NS(=O)(=O)Cc2ccc(F)cc2)c(=O)n1CC(=O)N[C@H]1CCc2nc(N)sc2C1,pKi,3.7535014192041993,3.7535014192041993,3.7535014192041993,0.0,3.7535014192041993,3.7535014192041993,0.0,False,1,1,1,1,1,176400.0,176400.0,176400.0,34,505.5970000000004,B,CHEMBL661989,CHEMBL1146655,630130
CHEMBL322542,CCCCS(=O)(=O)Nc1ccc(C)n(CC(=O)NC2CCc3nc(N)sc3C2)c1=O,CCCCS(=O)(=O)Nc1ccc(C)n(CC(=O)NC2CCc3nc(N)sc3C2)c1=O,CCCCS(=O)(=O)Nc1ccc(C)n(CC(=O)NC2CCc3nc(N)sc3C2)c1=O,pKi,3.7471469690201067,3.7471469690201067,3.7471469690201067,0.0,3.7471469690201067,3.7471469690201067,0.0,False,1,1,1,1,1,179000.0,179000.0,179000.0,30,453.59000000000026,B,CHEMBL661989,CHEMBL1146655,621102
CHEMBL342764,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2cccc3cccnc23)CC1,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2cccc3cccnc23)CC1,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2cccc3cccnc23)CC1,pKi,3.7450000036524846,3.7450000036524846,3.7450000036524846,0.0,3.7450000036524846,3.7450000036524846,0.0,False,1,1,1,1,1,179887.09,179887.09,179887.09,34,479.6060000000002,B,CHEMBL857787,CHEMBL1132189,47017
CHEMBL292300,N=C(N)c1ccc(NC(=O)c2cccc(-c3ccccc3)c2O)cc1,N=C(N)c1ccc(NC(=O)c2cccc(-c3ccccc3)c2O)cc1,N=C(N)c1ccc(NC(=O)c2cccc(-c3ccccc3)c2O)cc1,pKi,3.7258421507363204,3.7258421507363204,3.7258421507363204,0.0,3.7258421507363204,3.7258421507363204,0.0,False,1,1,1,1,1,188000.0,188000.0,188000.0,25,331.37500000000006,B,CHEMBL660267,CHEMBL1135196,537497
CHEMBL4519782,N=C(N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(cc3)NC(=O)CCN3CCN(CCC(=O)Nc4ccc(cc4)C[C@@H](NC(=O)Cc4ccccc4)C(=O)N2)CC3)cc1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,N=C(N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(cc3)NC(=O)CCN3CCN(CCC(=O)Nc4ccc(cc4)C[C@@H](NC(=O)Cc4ccccc4)C(=O)N2)CC3)cc1,N=C(N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(cc3)NC(=O)CCN3CCN(CCC(=O)Nc4ccc(cc4)C[C@@H](NC(=O)Cc4ccccc4)C(=O)N2)CC3)cc1,pKi,3.7249191015431418,3.7249191015431418,3.7249191015431418,0.0,3.7249191015431418,3.7249191015431418,0.0,False,1,1,1,1,1,188400.0,188400.0,188400.0,58,785.95,B,CHEMBL4426080,CHEMBL4425109,19404264
CHEMBL144847,CNC(=O)[C@H](Cc1cccc(C(=N)N)c1)NS(=O)(=O)c1c(C)cc(OC)c(C)c1C,CNC(=O)[C@H](Cc1cccc(C(=N)N)c1)NS(=O)(=O)c1c(C)cc(OC)c(C)c1C,CNC(=O)[C@H](Cc1cccc(C(=N)N)c1)NS(=O)(=O)c1c(C)cc(OC)c(C)c1C,pKi,3.7209999954135506,3.7209999954135506,3.7209999954135506,0.0,3.7209999954135506,3.7209999954135506,0.0,False,1,1,1,1,1,190107.83,190107.83,190107.83,30,432.5460000000003,B,CHEMBL857787,CHEMBL1132189,37417
CHEMBL111013,CCCS(=O)(=O)Nc1ccc(C)n(CC(=O)NC2CCc3nc(N)sc3C2)c1=O,CCCS(=O)(=O)Nc1ccc(C)n(CC(=O)NC2CCc3nc(N)sc3C2)c1=O,CCCS(=O)(=O)Nc1ccc(C)n(CC(=O)NC2CCc3nc(N)sc3C2)c1=O,pKi,3.6989700043360187,3.6989700043360187,3.6989700043360187,0.0,3.6989700043360187,3.6989700043360187,0.0,False,1,1,1,1,1,200000.0,200000.0,200000.0,29,439.5630000000002,B,CHEMBL661989,CHEMBL1146655,596135
CHEMBL4549153,N=C(N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(cc3)NC(=O)CN3CCN(CC3)CC(=O)Nc3ccc(cc3)C[C@@H](NC(=O)Cc3ccccc3)C(=O)N2)cc1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,N=C(N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(cc3)NC(=O)CN3CCN(CC3)CC(=O)Nc3ccc(cc3)C[C@@H](NC(=O)Cc3ccccc3)C(=O)N2)cc1,N=C(N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(cc3)NC(=O)CN3CCN(CC3)CC(=O)Nc3ccc(cc3)C[C@@H](NC(=O)Cc3ccccc3)C(=O)N2)cc1,pKi,3.695078838099108,3.695078838099108,3.695078838099108,0.0,3.695078838099108,3.695078838099108,0.0,False,1,1,1,1,1,201800.0,201800.0,201800.0,56,757.8960000000002,B,CHEMBL4426080,CHEMBL4425109,19404263
CHEMBL177078,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCN=C(N)N)C(=O)N2CC[C@@H](C)CC2C(=O)O)C1,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCN=C(N)N)C(=O)N2CC[C@@H](C)CC2C(=O)O)C1,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCN=C(N)N)C(=O)N2CC[C@@H](C)CC2C(=O)O)C1,pKi,3.6777807052660805,3.6777807052660805,3.6777807052660805,0.0,3.6777807052660805,3.6777807052660805,0.0,False,1,1,1,1,1,210000.0,210000.0,210000.0,35,508.6450000000004,B,CHEMBL663248,CHEMBL1133610,563396
