molecule_chembl_id,smiles,canonical_smiles_rdkit,endpoint,target_pKi,target_value,n_activity_records,p_endpoint_range,high_replicate_spread,n_molecule_chembl_ids_collapsed,collapsed_molecule_chembl_ids,canonical_smiles,p_endpoint_mean,p_endpoint_std,p_endpoint_min,p_endpoint_max,n_unique_assays,n_unique_documents,n_unique_original_smiles,n_unique_rdkit_smiles,median_standard_value_nM,min_standard_value_nM,max_standard_value_nM,heavy_atom_count,mol_wt_rdkit,assay_type_set,assay_chembl_ids,document_chembl_ids,activity_ids,structure_level_target_mean,structure_level_target_std,structure_level_target_min,structure_level_target_max,structure_level_target_range,high_duplicate_smiles_spread,collapsed_activity_record_count,structure_dedup_note
CHEMBL3666822,N=C(N)c1ccc(CNC(=O)[C@@H]2Cc3cccc(c3)CNC(=O)Cc3ccccc3CC(=O)NCc3cccc(c3)C[C@@H](NS(=O)(=O)Cc3ccccc3)C(=O)N2)cc1,N=C(N)c1ccc(CNC(=O)[C@@H]2Cc3cccc(c3)CNC(=O)Cc3ccccc3CC(=O)NCc3cccc(c3)C[C@@H](NS(=O)(=O)Cc3ccccc3)C(=O)N2)cc1,pKi,6.987162775294828,6.987162775294828,1,0.0,False,1,CHEMBL3666822,N=C(N)c1ccc(CNC(=O)[C@@H]2Cc3cccc(c3)CNC(=O)Cc3ccccc3CC(=O)NCc3cccc(c3)C[C@@H](NS(=O)(=O)Cc3ccccc3)C(=O)N2)cc1,6.987162775294828,0.0,6.987162775294828,6.987162775294828,1,1,1,1,103.0,103.0,103.0,59,813.9810000000002,B,CHEMBL3708031,CHEMBL3639143,16300728,6.987162775294828,0.0,6.987162775294828,6.987162775294828,0.0,False,1,single_structure
CHEMBL195032,N=C(N)c1ccc2ccc(CN(CCc3ccccn3)C(=O)c3cccc4ccccc34)cc2c1,N=C(N)c1ccc2ccc(CN(CCc3ccccn3)C(=O)c3cccc4ccccc34)cc2c1,pKi,6.982966660701219,6.982966660701219,1,0.0,False,1,CHEMBL195032,N=C(N)c1ccc2ccc(CN(CCc3ccccn3)C(=O)c3cccc4ccccc34)cc2c1,6.982966660701219,0.0,6.982966660701219,6.982966660701219,1,1,1,1,104.0,104.0,104.0,35,458.5650000000001,B,CHEMBL827061,CHEMBL1144375,1521748,6.982966660701219,0.0,6.982966660701219,6.982966660701219,0.0,False,1,single_structure
CHEMBL3627864,Cc1cc2nc([C@@H](CNC(=O)c3c(Cl)cc(-n4cnnc4)cc3Cl)c3ccccc3)[nH]c2cc1C,Cc1cc2nc([C@@H](CNC(=O)c3c(Cl)cc(-n4cnnc4)cc3Cl)c3ccccc3)[nH]c2cc1C,pKi,6.978810700930062,6.978810700930062,1,0.0,False,1,CHEMBL3627864,Cc1cc2nc([C@@H](CNC(=O)c3c(Cl)cc(-n4cnnc4)cc3Cl)c3ccccc3)[nH]c2cc1C,6.978810700930062,0.0,6.978810700930062,6.978810700930062,1,1,1,1,105.0,105.0,105.0,35,505.4090000000001,B,CHEMBL3630983,CHEMBL3627714,15748785,6.978810700930062,0.0,6.978810700930062,6.978810700930062,0.0,False,1,single_structure
CHEMBL596766,N=C(N)c1cc2cc(-c3cccc(OCc4ccc(Cl)c(F)c4)c3)ccc2s1,N=C(N)c1cc2cc(-c3cccc(OCc4ccc(Cl)c(F)c4)c3)ccc2s1,pKi,6.978810700930062,6.978810700930062,1,0.0,False,1,CHEMBL596766,N=C(N)c1cc2cc(-c3cccc(OCc4ccc(Cl)c(F)c4)c3)ccc2s1,6.978810700930062,0.0,6.978810700930062,6.978810700930062,1,1,1,1,105.0,105.0,105.0,28,410.901,B,CHEMBL1069648,CHEMBL1156933,3125767,6.978810700930062,0.0,6.978810700930062,6.978810700930062,0.0,False,1,single_structure
CHEMBL420078,O=C(NCC1CCN(c2ccncc2)CC1)c1cccc(OCCc2ccc(Cl)cc2Cl)c1,O=C(NCC1CCN(c2ccncc2)CC1)c1cccc(OCCc2ccc(Cl)cc2Cl)c1,pKi,6.97469413473523,6.97469413473523,3,0.0,False,1,CHEMBL420078,O=C(NCC1CCN(c2ccncc2)CC1)c1cccc(OCCc2ccc(Cl)cc2Cl)c1,6.97469413473523,0.0,6.97469413473523,6.97469413473523,3,3,1,1,106.0,106.0,106.0,33,484.42700000000025,B,CHEMBL4224593;CHEMBL662838;CHEMBL875189,CHEMBL1144416;CHEMBL1148260;CHEMBL4219270,1505463;18591541;859287,6.97469413473523,0.0,6.97469413473523,6.97469413473523,0.0,False,3,single_structure
CHEMBL71975,CN(C)C(=O)c1cccc(Oc2nc(Oc3cc(C(=N)N)ccc3O)nc3c2NC(=O)CO3)c1,CN(C)C(=O)c1cccc(Oc2nc(Oc3cc(C(=N)N)ccc3O)nc3c2NC(=O)CO3)c1,pKi,6.97469413473523,6.97469413473523,1,0.0,False,1,CHEMBL71975,CN(C)C(=O)c1cccc(Oc2nc(Oc3cc(C(=N)N)ccc3O)nc3c2NC(=O)CO3)c1,6.97469413473523,0.0,6.97469413473523,6.97469413473523,1,1,1,1,106.0,106.0,106.0,34,464.43800000000016,B,CHEMBL662827,CHEMBL1130936,355518,6.97469413473523,0.0,6.97469413473523,6.97469413473523,0.0,False,1,single_structure
CHEMBL446437,O=C(NC1CCN(C2CCCCC2)CC1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(NC1CCN(C2CCCCC2)CC1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,pKi,6.97469413473523,6.97469413473523,1,0.0,False,1,CHEMBL446437,O=C(NC1CCN(C2CCCCC2)CC1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,6.97469413473523,0.0,6.97469413473523,6.97469413473523,1,1,1,1,106.0,106.0,106.0,36,523.1020000000001,B,CHEMBL827058,CHEMBL1137151,1444188,6.97469413473523,0.0,6.97469413473523,6.97469413473523,0.0,False,1,single_structure
CHEMBL6032728,O=C(NC[C@@H]1OC(=O)N2c3ccc(-n4cncn4)cc3OC[C@@H]12)c1ccc(Cl)s1,O=C(NC[C@@H]1OC(=O)N2c3ccc(-n4cncn4)cc3OC[C@@H]12)c1ccc(Cl)s1,pKi,6.97469413473523,6.97469413473523,1,0.0,False,1,CHEMBL6032728,O=C(NC[C@@H]1OC(=O)N2c3ccc(-n4cncn4)cc3OC[C@@H]12)c1ccc(Cl)s1,6.97469413473523,0.0,6.97469413473523,6.97469413473523,1,1,1,1,106.0,106.0,106.0,29,431.8610000000002,B,CHEMBL5731527,CHEMBL5725816,26974558,6.97469413473523,0.0,6.97469413473523,6.97469413473523,0.0,False,1,single_structure
CHEMBL234171,O=C(N[C@H]1CCCC[C@H]1NC(=O)c1ccc2c(Cl)c[nH]c2c1)c1ccc(N2CCCS2(=O)=O)cc1,O=C(N[C@H]1CCCC[C@H]1NC(=O)c1ccc2c(Cl)c[nH]c2c1)c1ccc(N2CCCS2(=O)=O)cc1,pKi,6.97061622231479,6.97061622231479,1,0.0,False,1,CHEMBL234171,O=C(N[C@H]1CCCC[C@H]1NC(=O)c1ccc2c(Cl)c[nH]c2c1)c1ccc(N2CCCS2(=O)=O)cc1,6.97061622231479,0.0,6.97061622231479,6.97061622231479,1,1,1,1,107.0,107.0,107.0,35,515.0350000000003,B,CHEMBL898074,CHEMBL1149575,1971668,6.97061622231479,0.0,6.97061622231479,6.97061622231479,0.0,False,1,single_structure
CHEMBL220051,Cc1ccc2cc(S(=O)(=O)N[C@H]3CCN([C@@H](C)C(=O)N4CCOCC4)C3=O)ccc2c1,Cc1ccc2cc(S(=O)(=O)N[C@H]3CCN([C@@H](C)C(=O)N4CCOCC4)C3=O)ccc2c1,pKi,6.962573502059376,6.962573502059376,1,0.0,False,1,CHEMBL220051,Cc1ccc2cc(S(=O)(=O)N[C@H]3CCN([C@@H](C)C(=O)N4CCOCC4)C3=O)ccc2c1,6.962573502059376,0.0,6.962573502059376,6.962573502059376,1,1,1,1,109.0,109.0,109.0,31,445.54100000000034,B,CHEMBL918598,CHEMBL1142976,1822801,6.962573502059376,0.0,6.962573502059376,6.962573502059376,0.0,False,1,single_structure
CHEMBL94721,COc1ccc(C(=O)NCC2CCN(c3ccncn3)CC2)cc1OCCc1ccc(Cl)cc1Cl,COc1ccc(C(=O)NCC2CCN(c3ccncn3)CC2)cc1OCCc1ccc(Cl)cc1Cl,pKi,6.958607314841775,6.958607314841775,2,0.0,False,1,CHEMBL94721,COc1ccc(C(=O)NCC2CCN(c3ccncn3)CC2)cc1OCCc1ccc(Cl)cc1Cl,6.958607314841775,0.0,6.958607314841775,6.958607314841775,2,2,1,1,110.0,110.0,110.0,35,515.4410000000004,B,CHEMBL662838;CHEMBL875189,CHEMBL1144416;CHEMBL1148260,1505736;834530,6.958607314841775,0.0,6.958607314841775,6.958607314841775,0.0,False,2,single_structure
CHEMBL22944,CNC(=O)C(=O)[C@H](CCCCN)NC(=O)CN(C)C(=O)c1ccccc1Sc1ccccc1C#N,CNC(=O)C(=O)[C@H](CCCCN)NC(=O)CN(C)C(=O)c1ccccc1Sc1ccccc1C#N,pKi,6.958607314841775,6.958607314841775,1,0.0,False,1,CHEMBL22944,CNC(=O)C(=O)[C@H](CCCCN)NC(=O)CN(C)C(=O)c1ccccc1Sc1ccccc1C#N,6.958607314841775,0.0,6.958607314841775,6.958607314841775,1,1,1,1,110.0,110.0,110.0,35,495.6050000000002,B,CHEMBL875896,CHEMBL1132908,743976,6.958607314841775,0.0,6.958607314841775,6.958607314841775,0.0,False,1,single_structure
CHEMBL3219087,COc1ccc(-c2cccc(S(=O)(=O)N[C@@H](Cc3cccc(C(=N)N)c3)C(=O)N3CCC(CCN)CC3)c2)c(OC)c1,COc1ccc(-c2cccc(S(=O)(=O)N[C@@H](Cc3cccc(C(=N)N)c3)C(=O)N3CCC(CCN)CC3)c2)c(OC)c1,pKi,6.958607314841775,6.958607314841775,1,0.0,False,1,CHEMBL3219087,COc1ccc(-c2cccc(S(=O)(=O)N[C@@H](Cc3cccc(C(=N)N)c3)C(=O)N3CCC(CCN)CC3)c2)c(OC)c1,6.958607314841775,0.0,6.958607314841775,6.958607314841775,1,1,1,1,110.0,110.0,110.0,42,593.7500000000003,B,CHEMBL3225089,CHEMBL3217540,14531507,6.958607314841775,0.0,6.958607314841775,6.958607314841775,0.0,False,1,single_structure
CHEMBL333639,COc1ccc2ccc(S(=O)(=O)N[C@H]3CCN(Cc4ccnc(C(=N)N)c4)C3=O)cc2c1,COc1ccc2ccc(S(=O)(=O)N[C@H]3CCN(Cc4ccnc(C(=N)N)c4)C3=O)cc2c1,pKi,6.958607314841775,6.958607314841775,1,0.0,False,1,CHEMBL333639,COc1ccc2ccc(S(=O)(=O)N[C@H]3CCN(Cc4ccnc(C(=N)N)c4)C3=O)cc2c1,6.958607314841775,0.0,6.958607314841775,6.958607314841775,1,1,1,1,110.0,110.0,110.0,32,453.52400000000017,B,CHEMBL661582,CHEMBL1132151,1059638,6.958607314841775,0.0,6.958607314841775,6.958607314841775,0.0,False,1,single_structure
CHEMBL357739,COc1cccc(-n2nc(C)cc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,COc1cccc(-n2nc(C)cc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,pKi,6.958607314841775,6.958607314841775,1,0.0,False,1,CHEMBL357739,COc1cccc(-n2nc(C)cc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,6.958607314841775,0.0,6.958607314841775,6.958607314841775,1,1,1,1,110.0,110.0,110.0,33,462.5310000000002,B,CHEMBL661801,CHEMBL1145914,1220141,6.958607314841775,0.0,6.958607314841775,6.958607314841775,0.0,False,1,single_structure
CHEMBL541148,COc1cccc2c1cc(C(=O)NCc1ccc(-c3cc[n+](C)cc3)cc1)n2Cc1cccc(C(=N)N)c1,COc1cccc2c1cc(C(=O)NCc1ccc(-c3cc[n+](C)cc3)cc1)n2Cc1cccc(C(=N)N)c1,pKi,6.958607314841775,6.958607314841775,1,0.0,False,1,CHEMBL541148,COc1cccc2c1cc(C(=O)NCc1ccc(-c3cc[n+](C)cc3)cc1)n2Cc1cccc(C(=N)N)c1.O=C([O-])C(F)(F)F,6.958607314841775,0.0,6.958607314841775,6.958607314841775,1,1,1,1,110.0,110.0,110.0,38,504.61400000000015,B,CHEMBL663407,CHEMBL1135480,802653,6.958607314841775,0.0,6.958607314841775,6.958607314841775,0.0,False,1,single_structure
